exp_dir,aggregator,alpha,adv_percent,mu,seed,attack_mode,round,macro_f1,macro_f1_val,n_test_total,config_key
dsedge-iiotset-full_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed43_datasetedge-iiotset-full,krum,1.0,0,0.0,43,none,20,0.6422558612711805,,306569,krum_alpha1.0_adv0_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.0_seed61_datasetedge-iiotset-full,fedavg,0.1,0,0.0,61,none,20,0.5582256383071121,,306571,fedavg_alpha0.1_adv0_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.02_adv30_dp0_pers0_mu0.0_seed47_datasetedge-iiotset-full,fedavg,0.02,30,0.0,47,none,20,0.1976197945560652,,306569,fedavg_alpha0.02_adv30_mu0.0
dsedge-iiotset-full_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.2_seed45_datasetedge-iiotset-full,fedprox,inf,0,0.2,45,none,20,0.0,0.0,0,fedprox_alphainf_adv0_mu0.2
dsedge-iiotset-full_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.05_seed45_datasetedge-iiotset-full,fedprox,0.1,0,0.05,45,none,20,0.0,0.0,0,fedprox_alpha0.1_adv0_mu0.05
dsedge-iiotset-full_comp_median_alpha0.02_adv10_dp0_pers0_mu0.0_seed54_datasetedge-iiotset-full,median,0.02,10,0.0,54,none,20,0.4099304800924416,,306570,median_alpha0.02_adv10_mu0.0
dsedge-iiotset-full_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu1.0_seed42_datasetedge-iiotset-full,fedprox,0.1,0,1.0,42,none,20,0.761787083514781,0.5529651675253235,229933,fedprox_alpha0.1_adv0_mu1.0
dsedge-iiotset-full_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.0_seed42_datasetedge-iiotset-full,fedavg,0.02,0,0.0,42,none,20,0.4256179526669046,,306568,fedavg_alpha0.02_adv0_mu0.0
dsedge-iiotset-full_comp_krum_alphainf_adv20_dp0_pers0_mu0.01_modelabel_flip_seed43_datasetedge-iiotset-full,krum,inf,20,0.01,43,label,20,0.5717796373630148,,306570,krum_alphainf_adv20_mu0.01
dsedge-iiotset-full_comp_krum_alphainf_adv0_dp0_pers0_mu0.0_seed45_datasetedge-iiotset-full,krum,inf,0,0.0,45,none,20,0.717389799303094,,306570,krum_alphainf_adv0_mu0.0
dsedge-iiotset-full_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_seed46_datasetedge-iiotset-full,median,0.5,20,0.0,46,none,20,0.5792806421909711,,306568,median_alpha0.5_adv20_mu0.0
