experiment,aggregation,alpha,seed,mu,dataset,num_clients,num_rounds,final_round,num_clients_reporting,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,acc_mean,acc_std
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_pers0_mu0.01_seed45,unknown,0.05,45,0.01,edge-iiotset-nightly,6,15,15,6,0.43751241000168684,0.05884495924418811,0.36506427753519294,0.511798950506715,0.9877016910183706,0.022388041534072912
dsedge-iiotset-nightly_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.1_seed42,unknown,0.1,42,0.1,edge-iiotset-nightly,6,15,15,6,0.38350907186522537,0.09081745066006852,0.25863397210321126,0.5079644641802573,0.9755187947437133,0.03373488921562086
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.1_seed43_datasetedge-iiotset-nightly,unknown,1.0,43,0.1,edge-iiotset-nightly,6,20,20,6,0.7136724300186914,0.03334096231829743,0.6727486910065024,0.7500352426086118,0.9667580249989618,0.0007836307492523035
dsedge-iiotset-nightly_comp_fedprox_alpha0.1_adv0_dp0_sigma0.0_pers0_mu0.05_cf1.0_le1_idx23_seed50,unknown,0.1,50,0.05,edge-iiotset-nightly,6,15,15,6,0.5023479273573765,0.059080850609329244,0.4335930668451635,0.6011211011211013,0.9726431509072089,0.03718685681984078
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.05_seed42,unknown,1.0,42,0.05,edge-iiotset-nightly,6,15,15,6,0.6166966929540565,0.039285294844979,0.5801150029675779,0.6832350758634169,0.9583404090013098,0.01989884019999285
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.1_cf1.0_le1_idx40_seed47,unknown,0.2,47,0.1,edge-iiotset-nightly,6,15,15,6,0.4996636913232374,0.06849543045194031,0.40574659456273504,0.5860572873846962,0.960507730952482,0.037825539282480905
dsedge-iiotset-nightly_comp_bulyan_alpha0.05_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx2_seed49,bulyan,0.05,49,0.0,edge-iiotset-nightly,6,15,15,6,0.54407728610465,0.027639638394954983,0.5110820877473032,0.590049040340561,0.9909688037127149,0.012740151475774996
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx33_seed50,unknown,0.2,50,0.0,edge-iiotset-nightly,6,15,15,6,0.6242832241295051,0.045154600523250835,0.5582485727991381,0.6851306667106959,0.9737806421967106,0.029112375544895642
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.1_cf1.0_le1_idx44_seed51,unknown,0.2,51,0.1,edge-iiotset-nightly,6,15,15,6,0.4631128150815545,0.09521395594328638,0.28611408779948194,0.5408134837177361,0.9335474526979146,0.10303628911190567
dsedge-iiotset-nightly_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.0_seed45,fedavg,0.2,45,0.0,edge-iiotset-nightly,6,15,15,6,0.6612835472444116,0.03785600248669671,0.6247482291967593,0.7342502273645476,0.9776886448418463,0.04500578722531719
