slice,n_runs,n_seeds,metric_mean,ci_low,ci_high,reliability_grade,dataset,aggregation,adv_percent,attack_mode,alpha,fedprox_mu
attack_alpha0.5_by_mode,20,20,0.4432273386763857,0.4273664517537436,0.4590882255990278,A,cic,median,10.0,none,,
attack_alpha0.5_by_mode,5,5,0.18964523372085948,0.1667296920444623,0.21256077539725665,B,cic,median,10.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.18717888424497536,0.12130565916703566,0.25305210932291505,B,cic,median,20.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.4432273386763857,0.4273664517537436,0.4590882255990278,A,cic,median,20.0,none,,
attack_alpha0.5_by_mode,5,5,0.1779443807997385,0.14438433643931375,0.21150442516016327,B,cic,median,20.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.16885259263266555,0.10464560214484753,0.23305958312048358,B,cic,median,30.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.44322733867638575,0.42736645175374366,0.45908822559902784,A,cic,median,30.0,none,,
attack_alpha0.5_by_mode,5,5,0.1548476414286864,0.1269743109871215,0.1827209718702513,B,cic,median,30.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.5900991384960843,0.5297791783577708,0.6504190986343978,A,edge-iiotset-full,bulyan,10.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.599179813885228,0.5680771694259089,0.6302824583445471,A,edge-iiotset-full,bulyan,10.0,none,,
attack_alpha0.5_by_mode,10,10,0.5881646806235674,0.5271714603531675,0.6491579008939673,A,edge-iiotset-full,bulyan,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.5954917278211912,0.5408517954148249,0.6501316602275575,A,edge-iiotset-full,bulyan,10.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.5772783221585182,0.504695553255993,0.6498610910610433,A,edge-iiotset-full,fedavg,10.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.3073014417727674,0.2054804168633269,0.4091224666822079,A,edge-iiotset-full,fedavg,10.0,none,,
attack_alpha0.5_by_mode,10,10,0.28319192830145173,0.10820923076748334,0.4581746258354201,A,edge-iiotset-full,fedavg,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.5866838936343003,0.5301113137484638,0.6432564735201368,A,edge-iiotset-full,fedavg,10.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.5073644493443559,0.4037463425079708,0.6109825561807409,A,edge-iiotset-full,fedavg,20.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.16349978582768498,0.07953894457414298,0.24746062708122699,A,edge-iiotset-full,fedavg,20.0,none,,
attack_alpha0.5_by_mode,10,10,0.1208262823255509,0.016654515130566316,0.22499804952053548,A,edge-iiotset-full,fedavg,20.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.5192278987178426,0.45866822897461007,0.5797875684610752,A,edge-iiotset-full,fedavg,20.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.38621609671703616,0.27397654615996736,0.49845564727410496,A,edge-iiotset-full,fedavg,30.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.09754060425341651,0.027185010894927628,0.16789619761190538,A,edge-iiotset-full,fedavg,30.0,none,,
attack_alpha0.5_by_mode,10,10,0.056505748903226224,-0.022138106068813904,0.13514960387526637,A,edge-iiotset-full,fedavg,30.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.4153425696018391,0.3449075117828553,0.48577762742082287,A,edge-iiotset-full,fedavg,30.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.5513279481640707,0.4997512643881196,0.6029046319400218,A,edge-iiotset-full,krum,10.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.5634612394968441,0.5359778664130657,0.5909446125806226,A,edge-iiotset-full,krum,10.0,none,,
attack_alpha0.5_by_mode,10,10,0.5494360463968138,0.4973638595663286,0.601508233227299,A,edge-iiotset-full,krum,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.5567715443185861,0.5109405268226191,0.6026025618145531,A,edge-iiotset-full,krum,10.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.49032303048876535,0.43015560704666045,0.5504904539308703,A,edge-iiotset-full,krum,20.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.4942887231457102,0.457116074050247,0.5314613722411734,A,edge-iiotset-full,krum,20.0,none,,
attack_alpha0.5_by_mode,10,10,0.4857589900706312,0.42320084610585545,0.5483171340354069,A,edge-iiotset-full,krum,20.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.4989714625834251,0.4433050846424302,0.5546378405244201,A,edge-iiotset-full,krum,20.0,targeted_label,,
