run_id,quality_state,max_round,parsed_row_count,dataset,aggregation
cic_simple_04297cc495_comp_bulyan_alphainf_adv0_dp0_pers0_mu0.0_seed61,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_043332ad6e_comp_fedavg_alpha0.5_adv10_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_043630568b_comp_median_alphainf_adv30_dp0_pers0_mu0.0_seed55,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_043d9564de_comp_bulyan_alpha0.05_adv10_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_044cf7d120_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.02_seed44,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_04660d592c_comp_bulyan_alphainf_adv10_dp0_pers0_mu0.0_seed55,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_046e730a65_comp_krum_alpha0.05_adv30_dp0_pers0_mu0.0_seed46,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_047fac11ff_comp_median_alpha0.2_adv20_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_048303f58f_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.02_seed46,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_049d26fbfa_comp_fedavg_alpha0.02_adv10_dp0_pers0_mu0.0_seed46,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_04a07f558d_comp_fedavg_alpha0.5_adv0_dp1_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_04c8228232_comp_krum_alpha0.5_adv10_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_04d09d6356_comp_fedavg_alpha0.02_adv30_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_04dd35a2c8_comp_median_alpha0.02_adv30_dp0_pers0_mu0.0_seed60,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_04e707afec_comp_krum_alpha0.02_adv0_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_04fb657a89_comp_fedavg_alpha0.5_adv0_dp1_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_05021f9fa5_comp_median_alpha0.2_adv10_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0545b86244_comp_median_alpha0.02_adv20_dp0_pers0_mu0.0_seed53,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_054d7da189_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu1.0_seed49,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_05726791ef_comp_fedavg_alpha0.5_adv0_dp0_pers5_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0587d29f31_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed43,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_059f409925_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed43,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_05ccfa133d_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.005_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_061682abea_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.02_seed43,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0625b2653a_comp_fedavg_alpha0.05_adv0_dp0_pers0_mu0.005_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0637507281_comp_fedavg_alpha0.05_adv0_dp0_pers0_mu0.02_seed43,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0661b23fe4_comp_fedavg_alpha0.05_adv30_dp0_pers0_mu0.0_seed57,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_066a7e7b29_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.2_seed45,complete_or_exceeds_target,20.0,20,cic,fedprox
