run_id,canonical_run_id,is_canonical,canonical_key_id,duplicate_group_size,dataset,aggregation,alpha,adv_percent,attack_mode,fedprox_mu,seed,quality_state,quality_rank,max_round,parsed_row_count
dsedge-iiotset-full_comp_median_alphainf_adv10_dp0_pers0_mu0.0_seed45_datasetedge-iiotset-full,dsedge-iiotset-full_comp_median_alphainf_adv10_dp0_pers0_mu0.0_seed45_datasetedge-iiotset-full,True,5ef9c32cece6,1,edge-iiotset-full,median,inf,10.0,none,0.0,45.0,complete_or_exceeds_target,0,20.0,20
cic_simple_b84c3f8739_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.005_seed46,cic_simple_b84c3f8739_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.005_seed46,True,5f0adaac5e59,2,cic,fedprox,0.5,0.0,none,0.005,46.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.005_n10_r20_modenone_seed46_datasetcic,cic_simple_b84c3f8739_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.005_seed46,False,5f0adaac5e59,2,cic,fedprox,0.5,0.0,none,0.005,46.0,complete_or_exceeds_target,0,20.0,20
cic_simple_300a1b6209_comp_bulyan_alpha0.02_adv0_dp0_pers0_mu0.0_seed54,cic_simple_300a1b6209_comp_bulyan_alpha0.02_adv0_dp0_pers0_mu0.0_seed54,True,5f0c9c894657,2,cic,bulyan,0.02,0.0,none,0.0,54.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_bulyan_alpha0.02_adv0_dp0_pers0_mu0.0_n10_r20_modenone_seed54_datasetcic,cic_simple_300a1b6209_comp_bulyan_alpha0.02_adv0_dp0_pers0_mu0.0_seed54,False,5f0c9c894657,2,cic,bulyan,0.02,0.0,none,0.0,54.0,complete_or_exceeds_target,0,20.0,20
comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed42,comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed42,True,5f0ceaf020b0,3,unsw,bulyan,0.5,0.0,none,0.0,42.0,complete_or_exceeds_target,0,20.0,20
unsw_p5fac0d74_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed42,comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed42,False,5f0ceaf020b0,3,unsw,bulyan,0.5,0.0,none,0.0,42.0,empty_metrics,2,,0
unsw_pe11bb4b8_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed42,comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed42,False,5f0ceaf020b0,3,unsw,bulyan,0.5,0.0,none,0.0,42.0,empty_metrics,2,,0
dsedge-iiotset-full_comp_fedprox_alpha1.0_adv30_dp0_pers0_mu0.05_modelabel_flip_seed42_datasetedge-iiotset-full,dsedge-iiotset-full_comp_fedprox_alpha1.0_adv30_dp0_pers0_mu0.05_modelabel_flip_seed42_datasetedge-iiotset-full,True,5f154e664a6b,1,edge-iiotset-full,fedprox,1.0,30.0,label_flip,0.05,42.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_ad1c0101d7_comp_krum_alpha1.0_adv10_dp0_pers0_mu0.0_seed54_srccic,unsw_simple_ad1c0101d7_comp_krum_alpha1.0_adv10_dp0_pers0_mu0.0_seed54_srccic,True,5f263d1a8eca,1,unsw,krum,1.0,10.0,grad_ascent,0.0,54.0,complete_or_exceeds_target,0,20.0,20
